,interaction_name,pathway_name,ligand,receptor,agonist,antagonist,co_A_receptor,co_I_receptor,evidence,annotation,interaction_name_2
FGF3_FGFR1_1,FGF3_FGFR1_1,FGF,fgf3,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf3 - fgfr1a"
FGF3_FGFR1_2,FGF3_FGFR1_2,FGF,fgf3,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf3 - fgfr1bl"
FGF3_FGFR1_3,FGF3_FGFR1_3,FGF,fgf3,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf3 - fgfr1b"
FGF3_FGFR2,FGF3_FGFR2,FGF,fgf3,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf3 - fgfr2"
FGF10_FGFR1_1,FGF10_FGFR1_1,FGF,fgf10a,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10a - fgfr1a"
FGF10_FGFR1_2,FGF10_FGFR1_2,FGF,fgf10a,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10a - fgfr1bl"
FGF10_FGFR1_3,FGF10_FGFR1_3,FGF,fgf10a,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10a - fgfr1b"
FGF10_FGFR1_4,FGF10_FGFR1_4,FGF,fgf10b,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10b - fgfr1a"
FGF10_FGFR1_5,FGF10_FGFR1_5,FGF,fgf10b,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10b - fgfr1bl"
FGF10_FGFR1_6,FGF10_FGFR1_6,FGF,fgf10b,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10b - fgfr1b"
FGF10_FGFR2_1,FGF10_FGFR2_1,FGF,fgf10a,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10a - fgfr2"
FGF10_FGFR2_2,FGF10_FGFR2_2,FGF,fgf10b,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf10b - fgfr2"
FGF22_FGFR2_3,FGF22_FGFR2_3,FGF,fgf22,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf22 - fgfr2"
FGF8_FGFR1_1,FGF8_FGFR1_1,FGF,fgf8a,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8a - fgfr1a"
FGF8_FGFR1_2,FGF8_FGFR1_2,FGF,fgf8a,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8a - fgfr1bl"
FGF8_FGFR1_3,FGF8_FGFR1_3,FGF,fgf8a,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8a - fgfr1b"
FGF8_FGFR1_4,FGF8_FGFR1_4,FGF,fgf8b,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8b - fgfr1a"
FGF8_FGFR1_5,FGF8_FGFR1_5,FGF,fgf8b,fgfr1bl,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8b - fgfr1bl"
FGF8_FGFR1_6,FGF8_FGFR1_6,FGF,fgf8b,fgfr1b,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8b - fgfr1b"
FGF8_FGFR2_1,FGF8_FGFR2_1,FGF,fgf8a,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8a - fgfr2"
FGF8_FGFR2_2,FGF8_FGFR2_2,FGF,fgf8b,fgfr2,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8b - fgfr2"
FGF8_FGFR3_1,FGF8_FGFR3_1,FGF,fgf8a,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8a - fgfr3"
FGF8_FGFR3_2,FGF8_FGFR3_2,FGF,fgf8b,fgfr3,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf8b - fgfr3"
FGF18_FGFR1_1,FGF18_FGFR1_1,FGF,fgf18a,fgfr1a,,,,"FGF inhibition receptor","PMC: 4393358","Secreted Signaling","fgf18a - fgfr1a"
